City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,1.52,83,96,2.27,GS,1686275854
1,wailua homesteads,22.0669,-159.378,27.44,69,20,5.14,US,1686275864
2,djambala,-2.5447,14.7533,19.93,92,100,1.7,CG,1686275875
3,port-aux-francais,-49.35,70.2167,4.71,75,100,7.31,TF,1686275885
4,noumea,-22.2763,166.4572,25.99,99,2,5.23,NC,1686275895
5,al kharijah,25.4514,30.5464,30.93,22,14,1.17,EG,1686275906
6,holualoa,19.6228,-155.9522,26.91,78,75,4.63,US,1686275916
7,olonkinbyen,70.9221,-8.7187,2.22,98,100,7.22,SJ,1686275926
8,dhidhdhoo,6.8833,73.1,28.9,78,100,7.9,MV,1686275936
9,georgetown,5.4112,100.3354,31.96,89,20,2.06,MY,1686275728
10,saipan,15.1355,145.701,31.39,100,40,4.12,MP,1686275967
11,college,64.8569,-147.8028,22.97,45,75,4.12,US,1686275977
12,miyaly,48.8844,53.7836,19.07,35,4,1.89,KZ,1686275988
13,bethel,41.3712,-73.414,15.27,80,93,0.72,US,1686275998
14,bathurst,-33.4166,149.5806,13.31,63,30,0.89,AU,1686276008
15,tiksi,71.6872,128.8694,12.92,47,10,5.0,RU,1686276019
16,chibougamau,49.9168,-74.3659,10.79,93,100,4.12,CA,1686276040
17,praia da vitoria,38.7333,-27.0667,19.14,82,40,3.35,PT,1686275768
18,san cristobal,7.7669,-72.225,22.1,87,100,2.73,VE,1686276060
19,puerto natales,-51.7236,-72.4875,0.12,90,22,2.34,CL,1686276070
20,whitehorse,60.7161,-135.0538,23.34,23,100,8.23,CA,1686275911
21,okhotsk,59.3833,143.3,13.12,69,29,3.23,RU,1686276091
22,nelson bay,-32.7167,152.15,18.38,57,0,5.36,AU,1686276101
23,edinburgh of the seven seas,-37.0676,-12.3116,14.77,72,5,11.27,SH,1686276112
24,plettenberg bay,-34.0527,23.3716,16.66,68,98,3.3,ZA,1686276122
25,west island,-12.1568,96.8225,24.99,94,75,7.2,CC,1686276144
26,kone,-21.0595,164.8658,25.97,40,0,2.29,NC,1686276154
27,papatowai,-46.5619,169.4708,8.38,74,25,3.45,NZ,1686276165
28,glace bay,46.1969,-59.957,8.36,96,100,1.03,CA,1686276176
29,nishinoomote,30.7333,131.0,22.31,100,75,2.57,JP,1686276186
30,bereznik,62.8551,42.7072,7.7,97,100,3.43,RU,1686276196
31,mount isa,-20.7333,139.5,21.87,33,5,5.66,AU,1686276206
32,cuite,-6.4836,-36.1536,18.82,96,19,4.04,BR,1686276217
33,iqaluit,63.7506,-68.5145,2.85,86,100,1.03,CA,1686276227
34,smithers,54.7804,-127.1743,29.18,21,40,5.14,CA,1686276237
35,kodiak,57.79,-152.4072,8.73,93,100,3.6,US,1686276248
36,that phanom,16.9364,104.7104,27.01,83,100,3.54,TH,1686276258
37,tura,25.5198,90.2201,25.68,83,100,1.67,IN,1686276268
38,malappuram,11.0667,76.0667,24.09,88,75,2.57,IN,1686276278
39,saham,24.1722,56.8886,33.51,35,2,3.88,OM,1686276289
40,margaret river,-33.95,115.0667,15.3,64,40,1.81,AU,1686276299
41,san andres,12.5847,-81.7006,29.01,79,20,1.03,CO,1686276309
42,waitangi,-43.9535,-176.5597,9.9,79,42,0.45,NZ,1686276320
43,blackmans bay,-43.0167,147.3167,10.41,66,57,4.91,AU,1686276331
44,sisimiut,66.9395,-53.6735,1.42,69,97,0.97,GL,1686276341
45,sao gabriel da cachoeira,-0.1303,-67.0892,22.98,98,100,0.21,BR,1686276351
46,ribeira grande,38.5167,-28.7,17.1,84,100,1.79,PT,1686276362
47,rongelap,11.1635,166.8941,27.78,82,53,7.42,MH,1686276372
48,luanda,-8.8368,13.2343,21.0,94,40,1.03,AO,1686276383
49,arkhangel'sk,64.5401,40.5433,7.39,98,100,3.03,RU,1686276393
50,port alfred,-33.5906,26.891,16.77,64,3,1.79,ZA,1686276404
51,antsiranana,-12.2787,49.2917,23.12,79,1,5.5,MG,1686276414
52,castillos,-34.1667,-53.8333,18.4,81,74,4.68,UY,1686276425
53,brecon,51.9461,-3.3889,13.04,99,46,3.4,GB,1686276435
54,fort bragg,35.139,-79.006,21.01,62,0,0.0,US,1686276043
55,westport,41.1415,-73.3579,16.77,79,40,0.45,US,1686276456
56,hermanus,-34.4187,19.2345,13.78,87,36,3.67,ZA,1686276326
57,damboa,11.156,12.7576,26.18,62,98,2.34,NG,1686276477
58,paka,4.6374,103.4368,27.41,80,100,1.28,MY,1686276487
59,chonchi,-42.6128,-73.8092,3.95,80,47,1.57,CL,1686276199
60,nagqu,31.5,92.0,10.27,49,10,5.35,CN,1686276508
61,novoagansk,61.9449,76.6625,10.99,55,4,3.38,RU,1686276518
62,sturgis,41.7992,-85.4192,17.14,27,0,2.57,US,1686276525
63,brandon,27.9378,-82.2859,27.35,76,0,2.06,US,1686276539
64,afif,23.9065,42.9172,26.98,14,0,4.19,SA,1686276549
65,marquette,46.5333,-87.6335,12.1,56,0,1.89,US,1686276279
66,adamstown,-25.066,-130.1015,21.22,68,1,7.53,PN,1686276569
67,axim,4.8699,-2.2405,25.72,87,100,1.03,GH,1686276580
68,pisco,-13.7,-76.2167,20.03,83,2,6.69,PE,1686276591
69,shevchenko,48.5,35.0,15.71,65,50,2.26,UA,1686276601
70,port elizabeth,-33.918,25.5701,17.28,69,0,3.6,ZA,1686276612
71,anadyr,64.75,177.4833,13.28,50,0,3.0,RU,1686276622
72,bredasdorp,-34.5322,20.0403,12.59,95,57,3.48,ZA,1686276632
73,ilulissat,69.2167,-51.1,1.01,40,6,6.17,GL,1686276642
74,happy valley-goose bay,53.3168,-60.3315,4.0,78,56,1.46,CA,1686276653
75,gorontalo,0.5412,123.0595,31.02,62,28,2.3,ID,1686276663
76,talnakh,69.4865,88.3972,7.34,79,100,5.59,RU,1686276673
77,ponta delgada,37.7333,-25.6667,17.4,88,20,2.06,PT,1686276684
78,yellowknife,62.456,-114.3525,14.29,67,20,3.6,CA,1686276694
79,mount airy,36.4993,-80.6073,17.11,53,0,1.34,US,1686276558
80,north bay,46.3168,-79.4663,16.73,64,100,3.0,CA,1686276525
81,youghal,51.95,-7.8506,15.56,96,69,6.78,IE,1686276725
82,kirensk,57.7853,108.1119,23.6,36,88,2.08,RU,1686276735
83,east london,-33.0153,27.9116,17.05,50,42,3.61,ZA,1686276745
84,albany,42.6001,-73.9662,12.79,88,93,0.45,US,1686276466
85,thompson,55.7435,-97.8558,20.09,42,40,4.63,CA,1686276766
86,hamilton,39.1834,-84.5333,18.47,52,0,1.54,US,1686276776
87,apartado,7.883,-76.6259,24.39,95,100,1.57,CO,1686276786
88,torres,-29.3353,-49.7269,19.35,79,3,1.98,BR,1686276797
89,vorgashor,67.5833,63.95,4.71,54,99,3.68,RU,1686276807
90,dalandzadgad,43.5708,104.425,23.58,27,5,3.87,MN,1686276817
91,port mathurin,-19.6833,63.4167,24.42,71,0,7.43,MU,1686276828
92,avarua,-21.2078,-159.775,27.03,74,100,4.63,CK,1686276838
93,ust-nera,64.5667,143.2,17.61,46,30,0.88,RU,1686276858
94,invercargill,-46.4,168.35,7.28,65,2,0.76,NZ,1686276610
95,nadi,-17.8,177.4167,26.0,65,40,4.63,FJ,1686276879
96,isangel,-19.55,169.2667,25.06,57,20,4.12,VU,1686276890
97,jevargi,17.0167,76.7667,30.36,50,46,6.27,IN,1686276900
98,touros,-5.1989,-35.4608,24.22,90,13,4.64,BR,1686276911
99,longgang,37.6508,120.3286,24.71,45,25,7.51,CN,1686276921
100,ushuaia,-54.8,-68.3,1.81,80,0,6.69,AR,1686276681
101,loreto,22.2667,-101.9667,25.55,10,6,2.29,MX,1686276952
102,puerto ayora,-0.7393,-90.3518,25.31,92,55,0.45,EC,1686276962
103,las terrenas,19.311,-69.5428,26.77,79,93,4.62,DO,1686276972
104,kruisfontein,-34.0033,24.7314,16.05,64,100,3.23,ZA,1686276983
105,levuka,50.1834,-105.4011,25.84,50,34,5.21,CA,1686276993
106,lebu,-37.6167,-73.65,10.32,74,66,7.08,CL,1686277005
107,puerto baquerizo moreno,-0.9,-89.6,25.75,81,100,5.32,EC,1686277015
108,samana,19.2056,-69.3369,26.63,81,76,3.43,DO,1686277025
